name,logo,logo_size,image,image_size,image_caption,former_name,type,traded_as,ISIN,industry,foundation,founders,location_city,location_country,area_served,key_people,revenue,operating_income,net_income,assets,equity,num_employees,website,file_id,alt,native_name_lang,predecessors,founded,location,products,num_employees_year,divisions,logo_alt,image_alt,image_upright,trade_name,founder,hq_location_city,hq_location_country,brands,trading_name,services,revenue_year,income_year,net_income_year,assets_year,equity_year,hq_location,footnotes,logo_caption,subsid,predecessor,num_locations,locations
3M Company,3M wordmark.svg,175px,3-M Building Maplewood MN1.jpg,250px,"3M headquarters in [[Maplewood, Minnesota]]",Minnesota Mining and Manufacturing Company (1902–2002),[[Public company|Public]],{{Unbulleted list|New York Stock Exchange|MMM|[[Dow Jones Industrial Average|DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{New York Stock Exchange|MMM}},{{ISIN|sl|=|n|pl|=|y|US88579Y1010}},[[Conglomerate (company)|Conglomerate]],"{{Start date and age|1902|6|13}} in [[Two Harbors, Minnesota]], U.S.","{{Unbulleted list|J. Danley Budd|Henry S. Bryan|William A. McGonagle|John Dwan|Hermon W. Cable | Charles Simmons|ref|{{cite web |url=https://www.3m.com.au/3M/en_AU/company-au/news-releases/full-story/?storyid=51f5cfac-3ea9-4a98-a406-e2b955c3fd40 |title=It all started with a rock |date=June 11, 2021 |work=3M Australia |access-date=March 9, 2022}}|</ref>}}","[[Maplewood, Minnesota]]",U.S.,Worldwide,"{{plainlist|
* [[Michael F. Roman]] (chairman)
* [[William M. Brown (businessman)|William M. Brown]] (CEO)|ref|{{citation|url=https://www.manufacturingdive.com/news/3m-ceo-william-brown-executive-chair-michael-roman/709987/|website=Manufacturing Dive|date=March 12, 2024 |title=3M appoints new CEO }}|</ref>}}",{{decrease}} {{US$|24.58 billion|link|=|yes}} (2024),{{increase}} {{US$|4.822 billion}} (2024),{{increase}} {{US$|4.173 billion}} (2024),{{decrease}} {{US$|39.87 billion}} (2024),{{decrease}} {{US$|3.842 billion}} (2024),"{{circa|61,500}} (2024)",{{URL|3m.com}},3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agilent Technologies, Inc.",Agilent.svg,250p,Agilent-HQ-Lobby.jpg,250px,"Agilent Technologies headquarters lobby in Santa Clara, California",,[[Public company|Public]],{{ubl|NYSE|A|[[S&P 500]] component}} {{NYSE|A}},,{{unbulleted list|Healthcare equipment and services}},,,,,Worldwide,{{unbulleted list|Padraig McDonnell ([[Chief executive officer|CEO]])|Mike McMullen ([[Chief executive officer|CEO]] until April 2024)|[[Koh Boon Hwee]] ([[chairman]])}},{{decrease}} {{US$|6.51 billion|link|=|yes}} (2024),{{increase}} {{US$|1.49 billion}} (2024),{{increase}} {{US$|1.29 billion}} (2024),{{increase}} {{US$|11.8 billion}} (2024),{{increase}} {{US$|5.90 billion}} (2024),"17,900",{{URL|agilent.com}},Agilent Technologies,Agilent Technologies Logo,en,"Test & Measurement, Semiconductor Groups of [[Hewlett-Packard|HP]]",{{Start date and age|1999}},"[[Santa Clara, California]], U.S.","Instruments, software, services and consumables for laboratory use",2024,{{unbulleted list|Agilent CrossLab Group|Diagnostics & Genomics Group|Life Sciences & Applied Markets Group}},,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",[[File:AMD Logo.svg|frameless|upright=1.1|class=skin-invert]],,"2485 Augustine Drive headquarters in Santa Clara, California.jpg",,"Headquarters in [[Santa Clara, California]], in 2020",,[[Public company|Public]],"{{Unbulleted list
  | |NASDAQ|AMD|
  | [[Nasdaq-100]] component
  | [[S&P 100]] component
  | [[S&P 500]] component}} {{NASDAQ|AMD}}",,{{ubl|[[Semiconductor industry|Semiconductor]]s|[[Computer hardware]]}},,,,,Worldwide,"{{Unbulleted list
  | [[Lisa Su]] ([[Chairperson|chair]] & [[Chief executive officer|CEO]])
  | [[Mark Papermaster]] ([[Chief technical officer|CTO]])

| Jean Hu ([[Chief financial officer|CFO]])
| Phil Guido ([[Chief commercial officer|CCO]])}}",{{increase}} {{US$|25.79}} &nbsp;billion (2024),{{increase}} {{US$|1.900}} &nbsp;billion (2024),{{increase}} {{US$|1.641}} &nbsp;billion (2024),{{increase}} {{US$|69.23}} &nbsp;billion (2024),{{increase}} {{US$|57.57}} &nbsp;billion (2024),"{{circa|28,000}} (2024)",{{URL|https://www.amd.com/|amd.com}},Advanced Micro Devices,,,,{{Start date and age|1969|05|01}},,"{{Flatlist|
* [[List of AMD processors|AMD CPUs]]
* [[List of AMD graphics processing units|AMD GPUs]]
* [[Xilinx|AMD FPGAs]]}}",,,"Advanced Micro Devices, Inc. logo","Image of AMD's headquarters located in Santa Clara, California",1.1,AMD,Team led by [[Jerry Sanders (businessman)|Jerry Sanders]],"Santa Clara, California",United States<br/>,{{hlist|[[Ryzen]]|[[Radeon]]|[[Athlon]]|[[Epyc]]|[[Threadripper]]|[[Virtex (FPGA)|Virtex]]|[[Vivado]]|[[Sempron]]|[[Duron]]|[[AMD Instinct]]}},,,,,,,,,,,,,,
Adobe Inc.,[[File:Adobe Corporate wordmark.svg|frameless|upright=1.1|class=skin-invert-image]],,Adobe World Headquarters.jpg,,"[[Adobe World Headquarters]] in [[San Jose, California]]",Adobe Systems Incorporated (1982–2018),[[Public company|Public]],{{Unbulleted list|NASDAQ|ADBE|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|ADBE}},,[[Software]],,{{Unbulleted list|[[John Warnock]]|[[Charles Geschke]]}},,,Worldwide,{{Unbulleted list|[[Shantanu Narayen]]<br />([[chairman]] & [[Chief executive officer|CEO]])}},{{increase}} {{US dollar|21.51 billion|link|=|yes}},{{increase}} {{US dollar|6.741 billion}},{{increase}} {{US dollar|5.560 billion}},{{increase}} {{US dollar|30.23 billion}},{{decrease}} {{US dollar|14.11 billion}},"40,135 (2025)",{{URL|https://www.adobe.com/|adobe.com}},Adobe Inc,,,,"{{Start date and age|1982|12}} <br /> {{Nowrap|[[Mountain View, California]], U.S.}}",,{{hlist|[[Adobe Photoshop|Photoshop]] | [[Adobe Acrobat|Acrobat]] | [[Adobe Illustrator|Illustrator]] | [[PDF]] | [[Adobe Lightroom|Lightroom]] | [[Adobe Captivate|Captivate]] | [[Adobe ColdFusion|ColdFusion]] | [[Adobe XD|XD]] | [[Adobe Dreamweaver|Dreamweaver]] | [[Adobe InDesign|InDesign]] | [[Adobe Spark|Spark]] | [[Adobe Premiere Elements|Premiere Elements]] | [[Adobe RoboHelp|RoboHelp]] | [[Adobe FrameMaker|FrameMaker]] | [[Adobe Creative Cloud|Creative Cloud]] | ('''[[List of Adobe software|Full list]]''')}},,,,,1.1,,,"[[San Jose, California]]",U.S.,,Adobe,[[SaaS]],2024,2024,2024,2024,2024,[[Adobe World Headquarters]],Financials {{as of|2024|11|29|lc|=|y|df|=|US}} .,,,,,
Abbott Laboratories,Abbott Laboratories 2025 logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|ABT|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|ABT}},,{{ubl|[[Healthcare industry|Health care]]|[[Medical devices]]|[[Pharmaceutical industry|Pharmaceutical]]}},,,,,Worldwide,"{{ubl|class|=|nowrap|[[Robert B. Ford]]|([[chairman]] & [[Chief Executive Officer|CEO]])|ref|{{cite news |url=https://www.forbes.com/sites/brucejapsen/2018/10/18/after-20-years-abbott-ceo-miles-white-has-his-successor-in-mind|title=After 20 Years, Abbott Labs CEO Miles White Has Successor in Mind |website=Forbes |last1=Japsen |first1=Bruce|access-date=10 September 2019|archive-date=2 February 2023 |archive-url=https://web.archive.org/web/20230202015718/https://www.forbes.com/sites/brucejapsen/2018/10/18/after-20-years-abbott-ceo-miles-white-has-his-successor-in-mind/|url-status=live}}|</ref>|Robert Funck|([[Vice president#In business|EVP]] & [[Chief financial officer|CFO]])}}",{{increase}} {{US$|41.9&nbsp;billion|link|=|yes}} (2024),{{increase}} US$6.82&nbsp;billion (2024),{{increase}} US$13.4&nbsp;billion (2024),{{increase}} US$81.4&nbsp;billion (2024),{{increase}} US$47.9&nbsp;billion (2024),"{{circa|114,000}} (2024)",{{URL|abbott.com}},Abbott Laboratories,,,,"{{Start date and age|df|=|yes|1888}} (as Abbott Alkaloidal Company) in [[Ravenswood, Chicago]]",,{{ubl|[[Medication|Pharmaceutical drugs]] |[[Generic drug]]s |[[Medical device]]s |Diagnostic [[assay]]s |[[Dietary supplements]] |[[Nutrition]]als}},,,,,,,Wallace Calvin Abbott,,,,,,,,,,,"Abbott Park, Illinois, U.S.",,,,,,
Accenture plc,Accenture.svg,,Grand Canal Square - panoramio.jpg,250px,"Headquarters at 1 [[Grand Canal Dock#Grand Canal Square|Grand Canal Square]], [[Dublin]]",Andersen Consulting,[[Public limited company|Public]],{{ubl|NYSE|ACN| ([[Class A share|Class A]])|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|ACN}} ([[Class A share|Class A]]),{{ISIN|sl|=|n|pl|=|y|IE00B4BNMY34}},{{Unbulleted list|[[Professional services]]|[[Information technology consulting]]}},,,,,Worldwide,[[Julie Sweet]] ([[Chair (officer)|chair]] and [[Chief executive officer|CEO]]),{{increase}} {{US$|69.67 billion}} (2025),{{increase}} {{US$|10.23 billion}} (2025),{{increase}} {{US$|7.83 billion}} (2025),{{increase}} {{US$|65.39 billion}} (2025),{{increase}} {{US$|32.24 billion}} (2025),"779,000 (2025)",{{URL|accenture.com}},Accenture,A modern glass building with colorful reflections stands beside a waterfront plaza featuring tall red poles and people sitting on benches,,,{{start date and age|df|=|yes|1989}},,,,,,,,,,[[Dublin]],Ireland,,,,,,,,,,,<small>Primary logo used since 2020</small>,{{unbulleted list|[[Avanade]]|[[Droga5]]|[[Udacity]]|[[TalentSprint]]}},[[Arthur Andersen]],120 countries,
The AES Corporation,AES Corporation logo.svg,,AES Corporation (52368078840).jpg,,"AES headquarters in [[Arlington County, Virginia]], in 2022","Applied Energy Services, Inc. (1981–2000)",[[Public company|Public]],{{ubl|NYSE|AES|[[S&P 500]] component}} {{NYSE|AES}},,[[Energy]],,{{ubl|[[Roger Sant]]|Dennis Bakke}},,,Worldwide,Jay Morse (chairman)<br />[[Andres Gluski]] (president & CEO),{{nowrap|increase| |US$|12.7 billion|link|=|yes| (2023)}} {{increase}} {{US$|12.7 billion|link|=|yes}} (2023),,{{increase}} US$249 million (2023),{{increase}} US$44.8 billion (2023),{{increase}} US$2.49 billion (2023),"{{circa|9,600}} (2023)",{{URL|aes.com}},AES Corporation,,,,{{Start date and age|1981|01|28}},,[[Electricity]],,,,,,,,,,,,,,,,,,"[[Arlington, Virginia]], U.S.",,,,,,
Aflac Incorporated,Aflac.svg,,AFLAC Tower Columbus Georgia.jpg,,"[[Aflac Building]], [[Columbus, Georgia]], U.S.",,[[Public company|Public]],{{ubl|NYSE|AFL|[[S&P 500]] component}} {{NYSE|AFL}},,{{nowrap|[[Insurance]]<br/>[[Human resources]] services}},{{start date and age|1955|11|17}} (as American Family Life Insurance Company of Columbus),{{ubl|John Amos|Paul Amos|Bill Amos}},,,{{ubl|United States|Japan}},"{{Unbulleted list |[[Dan Amos]] ([[chairman]], [[Chief executive officer|CEO]])| Max Broden ([[Chief executive officer|CFO]])}}",{{increase}} {{US$|18.93&nbsp;billion|link|=|yes}} (2024),{{increase}} {{US$|6.417&nbsp;billion}} (2024),{{increase}} {{US$|5.443&nbsp;billion}} (2024),{{decrease}} {{US$|117.6&nbsp;billion}} (2024),{{increase}} {{US$|26.10&nbsp;billion}} (2024),"12,694 (2024)",{{URL|aflac.com}},Aflac,,,,,"{{nowrap|[[Aflac Building]]}} <br/>[[Columbus, Georgia]], U.S.",{{nowrap|Supplemental [[Health insurance|health]] &}} <br/> {{nowrap|[[life insurance]]}},,,,,,,,,,,,,,,,,,,,,,,,
A. O. Smith Corporation,AO Smith logo.svg {{!}} class=skin-invert-image,,A. O. Smith Corporate Technology Center.jpg,,"A. O. Smith Corporate Technology Center, opened in 2020",,[[Public company|Public]],{{Unbulleted list|NYSE|AOS|[[S&P 500]] component}} {{NYSE|AOS}},,[[Water industry|Water technology]],,,,,Worldwide,"{{Unbulleted list |Kevin J. Wheeler|ref|{{cite web |url=https://www.aosmith.com/News/2020-News/Ajita-Rajendra-to-retire-as-executive-chairman-of-A--O--Smith-Corporation/ |title=""Ahita Ragendra to retire as executive chairman of A. O. Smith Corporation""|website=AOSmith.com |access-date=April 30, 2021 }}|</ref>| ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])}} ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])",{{decrease}} {{US$|3.82|link|=|yes}} &nbsp;billion (2024),{{decrease}} US$699&nbsp;million (2024),{{decrease}} US$534&nbsp;million (2024),{{increase}} US$3.24&nbsp;billion (2024),{{increase}} US$1.88&nbsp;billion (2024),"12,700",{{Official URL}},A O Smith,,,,"{{Start date and age|1874}} in Milwaukee, Wisconsin, U.S.",,{{Unbulleted list|Water [[boiler]]s|[[Water heating|Water heaters]]|[[Water tank]]s|[[Water treatment]] and|[[water purification]] products}},2024,"Water heaters, boilers, water treatment systems, air purification systems",,,,,Charles Jeremiah Smith,"[[Milwaukee, Wisconsin]]",U.S.,,,,,,,,,,,,,,,27 worldwide
AbbVie Inc.,[[File:AbbVie logo.svg|frameless|upright=0.9|class=skin-invert]],,,,,,[[Public company|Public]],{{ubl|NYSE|ABBV|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|ABBV}},,[[Biopharmaceutical]],,,,,170+ countries worldwide,{{ubl|Richard A. Gonzalez ([[chairman]])|Robert Michael ([[Chief executive officer|CEO]])}},{{increase}} {{US$|56.33 billion|link|=|yes}} (2024),{{decrease}} {{US$|9.137 billion}} (2024),{{decrease}} {{US$|4.278 billion}} (2024),{{increase}} {{US$|135.2 billion}} (2024),{{decrease}} {{US$|3.325 billion}} (2024),"55,000 (2024)",{{URL|abbvie.com}},AbbVie,,,,{{Start date and age|2012|04|10}},"1 North Waukegan Road, [[North Chicago, Illinois]], United States","{{flatlist|
* [[Adalimumab|Humira]]
* [[Ibrutinib|Imbruvica]]
* [[Lopinavir|Kaletra]]
* [[Glecaprevir/pibrentasvir|Mavyret/Maviret]]
* [[Ritonavir|Norvir]]
* [[Risankizumab|Skyrizi]]
* [[venetoclax|Venclexta]]
* [[Daclizumab|Zinbryta]]}}",,,,,,,,,,,,,,,,,,,,,,,,
