Constituent removed,Replaced by,Date of replacement
Reliance Communications,Sun Pharma,8 August 2011[24]
Reliance Infra,Coal India,8 August 2011[24]
Tata Power,Lupin,22 June 2015[25]
Hindalco Industries,Asian Paints,21 December 2015[26]
Bharat Heavy Electricals,Power Grid Corporation of India,20 June 2016[27]
GAIL,Kotak Mahindra Bank,19 June 2017[28]
Cipla,IndusInd Bank,18 December 2017[29]
Lupin,Yes Bank,18 December 2017[29]
Dr. Reddy's Laboratories,Vedanta,18 June 2018[30]
Wipro,HCL Technologies,24 December 2018[31]
Adani Ports & SEZ,Bajaj Finance,24 December 2018[31]
Vedanta,Nestlé India,23 December 2019[32]
Yes Bank,Titan Company,23 December 2019[32]
Tata Motors,UltraTech Cement,23 December 2019[32]
Tata Steel,Dr. Reddy's Laboratories,21 December 2020[21]
Oil and Natural Gas Corporation,Tata Steel,21 June 2021[21]
Bajaj Auto,Wipro,20 December 2021[33]
Dr. Reddy's Laboratories,Tata Motors,19 December 2022[34]
HDFC,JSW Steel,13 July 2023[35]
Wipro,Adani Ports & SEZ,24 June 2024[8]
JSW Steel,Zomato,23 December 2024[36]
